微博内容,点赞数,情感类别,情感得分,主题_0,主题_1,主题_2,主题_3,主题_4,主题_5,主题_6,主题_7,主题_8,主题_9,关键词_今天,关键词_亿元,关键词_智能,关键词_增长,关键词_科技,关键词_测试,关键词_出租车,关键词_出行,关键词_市场,关键词_不止,关键词_第一次,关键词_robotaxi,关键词_ai,关键词_自动,关键词_看到,关键词_已经,关键词_可以,关键词_真的,关键词_全球,关键词_体验,情感得分加权
安利大家来武汉玩打萝卜快跑无人驾驶安静干净无异味能自选歌曲调节空调还有按摩比快车还便宜点真的很难拒绝（记得帮萝卜把门关上不然会停在路边反复播放“请帮萝卜关关门吧”）2武汉,341.0,正面,0.8734064102172852,0.9849367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,297.83158588409424
萝卜快跑无人出租车的底层逻辑，你以为它真的是为了和出租车抢生意吗，了解一下…,1.0,负面,0.635687530040741,0.0,0.0,0.0,0.0,0.0,0.9623051881790161,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.635687530040741
出发咯第一次打到萝卜快跑无人驾驶hhh好有意思,146.0,正面,0.8777168989181519,0.0,0.0,0.0,0.0,0.17511940002441406,0.0,0.0,0.7632830739021301,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,128.14666724205017
网约车无人驾驶无人驾驶的网约车，萝卜快跑，感觉还可以，挺智能的，听说百度萝卜快跑已经在武汉盈利了，这样的车你敢坐吗？照这情况下去驾驶员早晚得失业热门‖百度萝卜快跑,2184.0,正面,0.908211350440979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8472286462783813,0.13656377792358398,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1983.5335893630981
这两天家里有事，请假去了一趟武汉。拍到了武汉的日落大道，感觉还不错。现在武汉有很多萝卜快跑无人驾驶出租车，和半年前比起来，明显进化了很多。会主动加速，加塞，卡位，明显是被武汉人民调教出来了。我试着别了萝卜快跑一下，它会微微减速然后伺机卡进来，感觉很快它就会学会汉味ai语音广播骂人了,90.0,正面,0.9884527325630188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909144043922424,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88.96074593067169
感受了一把萝卜快跑，无人驾驶出租车，在武汉这个驾驶风格彪悍的地区搞无人驾驶，有魄力讲真效率不错，但这个刹车油门的控制，还是太猛，没有华为理想那般丝滑。在还有人唱衰驾驶辅助的时候，真正的无人驾驶已经实现商业化了，好神奇,155.0,正面,0.8521198630332947,0.9877491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,132.07857877016068
萝卜快跑无人驾驶的算法有问题啊，这么简单的路况都处理不了？来自网络,43.0,负面,0.8778011202812195,0.27713704,0.0,0.6877074241638184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.74544817209244
萝卜快跑无人驾驶出租车在武汉，坐无人驾驶出租车是种什么体验？,130.0,正面,0.555213212966919,0.0,0.0,0.0,0.0,0.0,0.6322934627532959,0.0,0.3201451301574707,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,72.17771768569946
我们打了萝卜快跑，佩服它的勇气，竟然在水乡片试运营在华南mall的掉头路口卡了得有5分钟肉妈说先不要上车，太羞耻了，她不知道在那也不能上车，萝卜得到停车点才能上路人（图2）都拿出手机拍了，好像在说，你看这车被卡在这了，所以我说佩服它的勇气，谁曾想路口竟然有个锥桶，它在,54.0,负面,0.5592879056930542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869663715362549,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.201546907424927
给人笑瘸了萝卜快跑不止车跑人也得跑萝卜快跑,3996.0,正面,0.590823769569397,0.8693065,0.013577676378190517,0.015592104755342007,0.012399228289723396,0.013826880604028702,0.012716448865830898,0.016418728977441788,0.01896899938583374,0.014927307143807411,0.012266082689166069,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2360.9317831993103
